ime,letnik,kilometrina,motor,menjalnik,cena,cas
Alfa Romeo 147,2006,106000 km,"bencinski motor, 1598 ccm, 77 kW  / 105 KM",ročni menjalnik (5 pr.),900€,"(5, 11)"

Audi Q3,2016,132800 km,"diesel motor, 1968 ccm, 110 kW  / 150 KM",ročni menjalnik (6 pr.),20999€,"(5, 11)"

Volkswagen Golf,2002,322000 km,"diesel motor, 1896 ccm, 66 kW  / 90 KM",ročni menjalnik (5 pr.),1590€,"(5, 11)"

Audi A4,2007,123800 km,"diesel motor, 1968 ccm, 105 kW  / 143 KM",ročni menjalnik (6 pr.),10990€,"(5, 11)"

BMW Serija 5,2004,267000 km,"diesel motor, 2993 ccm, 160 kW  / 218 KM",ročni menjalnik (6 pr.),4900€,"(5, 11)"

Škoda Superb,2009,220000 km,"bencinski motor, 1798 ccm, 118 kW  / 161 KM",ročni menjalnik (6 pr.),8299€,"(5, 11)"

Fiat Panda,2004,175000 km,"bencinski motor, 1108 ccm, 40 kW  / 55 KM",ročni menjalnik (5 pr.),1490€,"(5, 11)"

BMW Serija 5,2015,92435 km,"diesel motor, 2993 ccm, 190 kW  / 259 KM",avtomatski menjalnik / tiptronic,28900€,"(5, 11)"

Fiat Croma,2006,237000 km,"diesel motor, 1910 ccm, 110 kW  / 150 KM",ročni menjalnik (6 pr.),1890€,"(5, 11)"

Audi A4,2013,156500 km,"diesel motor, 1968 ccm, 130 kW  / 177 KM",ročni menjalnik (6 pr.),14490€,"(5, 11)"

BMW Serija 3,2004,308000 km,"diesel motor, 1995 ccm, 110 kW  / 150 KM",ročni menjalnik (6 pr.),3200€,"(5, 11)"

Nissan Juke,2011,110000 km,"bencinski motor, 1618 ccm, 140 kW  / 191 KM",ročni menjalnik (6 pr.),9100€,"(5, 11)"

Mercedes-Benz CLS-Razred,2005,250000 km,"bencinski motor, 3498 ccm, 200 kW  / 273 KM",avtomatski menjalnik / tiptronic,7800€,"(5, 11)"

Citroen C8,2002,300000 km,"diesel motor, 2179 ccm, 84 kW  / 115 KM",ročni menjalnik (5 pr.),850€,"(5, 11)"

Hyundai Coupe,2007,170000 km,"bencinski motor, 1599 ccm, 77 kW  / 105 KM",ročni menjalnik (5 pr.),3790€,"(5, 11)"

Volvo S80,2006,200000 km,"diesel motor, 2400 ccm, 120 kW  / 164 KM",avtomatski menjalnik,4800€,"(5, 11)"

Mitsubishi Carisma,2001,300000 km,"bencinski motor, 1597 ccm, 76 kW  / 104 KM",ročni menjalnik (5 pr.),390€,"(5, 11)"

Volkswagen Passat,2011,192000 km,"diesel motor, 1598 ccm, 77 kW  / 105 KM",ročni menjalnik (6 pr.),7650€,"(5, 11)"

BMW Serija 5,2002,270000 km,"diesel motor, 1951 ccm, 100 kW  / 136 KM",ročni menjalnik (5 pr.),1410€,"(5, 11)"

Škoda Octavia,2016,133683 km,"diesel motor, 1598 ccm, 81 kW  / 110 KM",avtomatski menjalnik,13290€,"(5, 11)"

Mitsubishi Pajero,2000,256000 km,"bencinski motor + plin, 1834 ccm, 88 kW  / 120 KM",ročni menjalnik (5 pr.),2050€,"(5, 11)"

Renault Clio,1998,163000 km,"bencinski motor, 1149 ccm, 43 kW  / 59 KM",ročni menjalnik (5 pr.),580€,"(5, 11)"

Mitsubishi Carisma,1997,262000 km,"bencinski motor, 1597 ccm, 73 kW  / 100 KM",ročni menjalnik (5 pr.),250€,"(5, 11)"

Volkswagen Touran,2013,161000 km,"diesel motor, 1598 ccm, 77 kW  / 105 KM",ročni menjalnik (6 pr.),10390€,"(5, 11)"

Opel Corsa,2008,178000 km,"bencinski motor, 1400 ccm, 66 kW  / 90 KM",ročni menjalnik (5 pr.),3300€,"(5, 11)"

Audi A5,2014,205000 km,"diesel motor, 1968 ccm, 110 kW  / 150 KM",avtomatski menjalnik,19100€,"(5, 11)"

