znamka,ime,letnik,kilometrina,motor,velikost motorja,menjalnik,cena,cas
Opel,Insignia,2009,148255,diesel motor,1956,ročni menjalnik,5999,"(23, 1)"
Volkswagen,Golf,2011,344523,diesel motor,1598,ročni menjalnik,4999,"(23, 1)"
Fiat,Punto,2006,157725,bencinski motor,1242,ročni menjalnik,1399,"(23, 1)"
Kia,CeeD,2010,117000,bencinski motor,1396,ročni menjalnik,4399,"(23, 1)"
Citroen,C4,2009,206000,diesel motor,1560,avtomatski menjalnik,3999,"(23, 1)"
Audi,A4,2006,262000,diesel motor,1968,ročni menjalnik,6250,"(23, 1)"
BMW,Serija 5,2003,141770,bencinski motor,2494,ročni menjalnik,5999,"(23, 1)"
Peugeot,206,2002,129300,diesel motor,1398,ročni menjalnik,1175,"(23, 1)"
Kia,Sportage,1995,242315,bencinski motor,1998,ročni menjalnik,1199,"(23, 1)"
Fiat,Punto,2007,155248,bencinski motor,1368,ročni menjalnik,2599,"(23, 1)"
Volkswagen,Golf,2006,258000,diesel motor,1896,ročni menjalnik,3990,"(23, 1)"
Renault,Clio,2005,144872,bencinski motor,1149,ročni menjalnik,2599,"(23, 1)"
Renault,Clio,2011,106939,bencinski motor,1149,ročni menjalnik,4499,"(23, 1)"
Fiat,Punto,2006,172000,bencinski motor,1368,ročni menjalnik,2070,"(23, 1)"
Suzuki,Swift,2007,115319,bencinski motor,1328,ročni menjalnik,3599,"(23, 1)"
BMW,Serija X3,2004,244000,diesel motor,2993,avtomatski menjalnik,4999,"(23, 1)"
Citroen,C2,2007,152710,bencinski motor,1360,ročni menjalnik,2499,"(23, 1)"
Volkswagen,Passat,2006,193598,diesel motor,1968,ročni menjalnik,4999,"(23, 1)"
Renault,Megane,2004,217000,diesel motor,1461,ročni menjalnik,1300,"(23, 1)"
Audi,A4,2007,244350,diesel motor,1968,ročni menjalnik,8490,"(23, 1)"
Opel,Astra,2003,320000,diesel motor,1686,ročni menjalnik,800,"(23, 1)"
BMW,Serija 7,1987,280000,bencinski motor,3430,ročni menjalnik,3900,"(23, 1)"
Volkswagen,Polo,1997,98315,bencinski motor,1391,ročni menjalnik,599,"(23, 1)"
BMW,Serija 3,2014,156000,diesel motor,1995,ročni menjalnik,14599,"(23, 1)"
Mercedes-Benz,A-Razred,2005,268000,diesel motor,1991,ročni menjalnik,2990,"(23, 1)"
Renault,Espace,2008,208900,diesel motor,1995,avtomatski menjalnik,4800,"(23, 1)"
Ford,Mondeo,2008,220000,diesel motor,1997,ročni menjalnik,5100,"(23, 1)"
Suzuki,Ignis,2006,133000,bencinski motor,1490,ročni menjalnik,1900,"(23, 1)"
Volkswagen,Passat,2006,198765,diesel motor,1968,ročni menjalnik,5250,"(23, 1)"
Citroen,C5,2009,340000,diesel motor,1560,ročni menjalnik,2700,"(23, 1)"
Volkswagen,Golf,2013,69215,bencinski motor,1395,ročni menjalnik,14990,"(23, 1)"
Volkswagen,Passat,2016,133011,diesel motor,1598,ročni menjalnik,14490,"(23, 1)"
Volkswagen,Golf,2015,134136,diesel motor,1968,avtomatski menjalnik,13299,"(23, 1)"
Škoda,Octavia,2013,150000,diesel motor,1598,ročni menjalnik,9490,"(23, 1)"
Audi,A6,2009,115057,diesel motor,1968,ročni menjalnik,14490,"(23, 1)"
