znamka,ime,letnik,kilometrina,motor,velikost motorja,menjalnik,cena,cas
Peugeot,206,2004,297404,bencinski motor,1360,ročni menjalnik,1000,"(23, 1)"
Volkswagen,Passat,2011,236037,diesel motor,1968,avtomatski menjalnik,8190,"(23, 1)"
BMW,Serija 3,2014,187150,diesel motor,1995,avtomatski menjalnik,12890,"(23, 1)"
Mercedes-Benz,E-Razred,2016,80000,diesel motor,2987,avtomatski menjalnik,49990,"(23, 1)"
Škoda,Superb,2014,52427,diesel motor,1968,avtomatski menjalnik,14799,"(23, 1)"
Nissan,Terrano,2001,295209,diesel motor,2664,ročni menjalnik,2100,"(23, 1)"
Citroen,C4,2018,2500,bencinski motor,1199,ročni menjalnik,14400,"(23, 1)"
Volkswagen,Golf,2017,115000,diesel motor,1968,avtomatski menjalnik,14990,"(23, 1)"
Volkswagen,Polo,2007,75837,diesel motor,1422,ročni menjalnik,4950,"(23, 1)"
Subaru,Impreza,1999,270000,bencinski motor,2000,ročni menjalnik,10000,"(23, 1)"
Peugeot,206,2003,82000,bencinski motor,1360,ročni menjalnik,1300,"(23, 1)"
Opel,Zafira,2002,295000,diesel motor,1995,ročni menjalnik,1000,"(23, 1)"
BMW,Serija 1,2018,14000,diesel motor,1995,avtomatski menjalnik,31720,"(23, 1)"
Ford,C-Max,2015,181315,diesel motor,1560,ročni menjalnik,7499,"(23, 1)"
Audi,Q5,2015,73600,diesel motor,1968,avtomatski menjalnik,23600,"(23, 1)"
Suzuki,Alto,1999,104215,bencinski motor,993,ročni menjalnik,500,"(23, 1)"
Ford,S-Max,2010,735000,diesel motor,1997,ročni menjalnik,4500,"(23, 1)"
Audi,A5,2010,188000,diesel motor,1968,ročni menjalnik,11950,"(23, 1)"
Volkswagen,Passat,2006,321000,diesel motor,1896,ročni menjalnik,2900,"(23, 1)"
